term,s,c1,c2
xi0,50.0,8.470809268632023e-06,8.009843621697154e-09
xi0,60.0,8.047559263979824e-06,3.933157022674279e-09
xi0,70.0,9.890705933631861e-06,3.0855295189312447e-09
xi0,80.0,1.9391271234522157e-06,9.857763652658631e-09
xi0,90.0,7.439690863197407e-06,9.310804398202034e-09
xi0,100.0,4.26706629540175e-06,6.324095369656179e-09
xi0,110.0,8.413137957553549e-06,2.84262642561935e-09
xi0,120.0,3.2427770705425464e-06,2.2383526066111594e-09
xi0,130.0,5.162842153165981e-06,5.996634194668789e-09
xi0,140.0,6.823292816394515e-06,9.408731697731337e-09
xi0,150.0,7.244583678450994e-06,5.170635041650884e-10
xi0,160.0,1.590381261558538e-07,9.083141361942292e-09
xi0,170.0,1.968056748419597e-06,5.875908574867743e-09
xi0,180.0,7.639525188983424e-06,9.191868503216869e-09
xi0,190.0,2.9779912095465123e-06,5.5914401637156024e-09
xi0,200.0,6.558761294203804e-06,8.582721355783302e-09
xi0,210.0,3.635562733329513e-06,1.7528361081566114e-09
xi0,220.0,4.68153244654172e-06,3.7349183056901825e-09
xi0,230.0,3.659748666242505e-06,2.9503904363861845e-09
xi0,240.0,9.37768706835768e-06,5.825226211781184e-09
xi0,250.0,7.221759066959422e-07,5.2449293754955865e-09
xi0,260.0,4.209803274950325e-06,2.5776832815326377e-09
xi0,270.0,2.5997816748205385e-06,8.537059984560242e-09
xi0,280.0,6.075918120776876e-06,5.938828839144694e-09
xi0,290.0,5.772601544569889e-07,7.24612153238999e-09
xi0,300.0,7.077461562986044e-06,4.628297000163136e-09
xi0,310.0,1.0345571158960488e-06,2.6387109116604824e-09
xi0,320.0,8.069991541085081e-06,3.0530090435576495e-09
xi0,330.0,9.584915940882409e-06,2.53148257495325e-09
xi0,340.0,5.263997916670194e-07,7.778163502905903e-09
xi0,350.0,9.388077676753981e-06,4.750648979339915e-09
xi0,360.0,7.490502648898112e-07,1.936215979964555e-09
xi0,370.0,7.155821293102716e-07,2.616210692686567e-09
xi0,380.0,4.089192385408259e-06,9.709108799337037e-09
xi0,390.0,5.146269249326054e-06,1.6398051916557644e-09
xi0,400.0,2.6903426543941323e-06,4.980457587169223e-09
xi2,50.0,6.068517415213671e-06,1.1125423254154855e-09
xi2,60.0,1.1200101019366748e-06,8.36976808048323e-09
xi2,70.0,4.14287344888383e-06,1.3141541726581764e-09
xi2,80.0,1.900522300381782e-06,9.413934825700056e-09
xi2,90.0,7.287406598193838e-06,4.331971678860061e-09
xi2,100.0,9.640775721962186e-06,8.301502792784588e-10
xi2,110.0,2.281596235953858e-06,2.7722367364167953e-09
xi2,120.0,5.305064537775491e-06,7.514785722864911e-09
xi2,130.0,3.7528823804263203e-06,5.8160138609976955e-09
xi2,140.0,8.959441183067657e-06,1.4519577653428119e-09
xi2,150.0,5.802520729240226e-06,7.299284402197401e-09
xi2,160.0,7.652142044930611e-06,2.641266750394289e-09
xi2,170.0,1.480365899340861e-06,3.193858007789929e-10
xi2,180.0,7.680721639996455e-06,1.7069059771599483e-09
xi2,190.0,4.00840836450056e-07,2.6784380545061536e-09
xi2,200.0,8.707071957415649e-06,3.542174616686852e-09
xi2,210.0,9.57444020350361e-07,3.157574108790663e-09
xi2,220.0,1.307034328396538e-06,6.182035278412172e-09
xi2,230.0,7.37505154779287e-07,6.414278698494335e-10
xi2,240.0,5.682695674163498e-07,8.315151225663479e-10
xi2,250.0,8.80330792852227e-07,1.7929834042325067e-12
xi2,260.0,5.1936393582206805e-08,4.493619812004769e-10
xi2,270.0,5.539876045555728e-07,9.60368434905683e-10
xi2,280.0,9.744596069888957e-07,1.3089854181100058e-10
xi2,290.0,6.136625221348876e-07,2.292824392031866e-10
xi2,300.0,4.5358573107595445e-07,9.210849345976662e-10
xi2,310.0,1.859834777510927e-08,5.948815704259547e-10
xi2,320.0,5.264883302471546e-10,4.778374566088751e-10
xi2,330.0,4.477840298894002e-07,2.2979948671985398e-10
xi2,340.0,8.154555081651363e-07,4.445230077811615e-10
xi2,350.0,8.896805329332819e-07,2.8551012739518467e-10
xi2,360.0,6.563470098750939e-07,7.928611967897207e-10
xi2,370.0,3.9330125289858596e-07,2.526619211299121e-10
xi2,380.0,7.390230440472053e-07,9.19195002841713e-10
xi2,390.0,3.4043687406599285e-07,4.958692927144595e-10
xi2,400.0,1.1828310426999155e-07,5.805019746600097e-10
xi4,50.0,1.5645669543442675e-07,5.341452440115007e-10
xi4,60.0,9.165994620303775e-07,7.595781700932135e-10
xi4,70.0,4.0513614801639463e-07,3.8657925025136953e-10
xi4,80.0,8.814599777154784e-07,7.001471438359218e-10
xi4,90.0,2.04641939050062e-07,4.054877679817327e-10
xi4,100.0,1.0440892326735607e-07,9.8010768939865e-10
xi4,110.0,4.666091266724661e-07,5.373071654421751e-10
xi4,120.0,8.646667702339902e-07,4.180928123963297e-10
xi4,130.0,2.6874581771859474e-07,9.951921201163993e-10
xi4,140.0,5.194537695909795e-07,1.7421176529986061e-10
xi4,150.0,9.215499374428678e-07,2.3164936665221736e-10
xi4,160.0,7.934161712490311e-07,2.9602142803227064e-10
xi4,170.0,4.936713374362e-07,2.526842290181508e-11
xi4,180.0,3.555339849001605e-07,8.873358011612113e-10
xi4,190.0,3.340169741855922e-07,2.2546508520537592e-10
xi4,200.0,1.6434691247374512e-08,6.688553406607172e-10
xi4,210.0,1.170790261558543e-07,2.1226108137074242e-10
xi4,220.0,2.1292562989998308e-07,5.448098287675804e-10
xi4,230.0,3.8589743768578064e-07,7.736536478710234e-10
