term,s,c1,c2
xi0,50.0,4.3416849931686734e-06,9.256468964524572e-09
xi0,60.0,9.598594390408419e-06,6.675718777908631e-09
xi0,70.0,9.943282976210367e-06,9.622246823859268e-09
xi0,80.0,1.3123028133227056e-06,2.3269287444868304e-09
xi0,90.0,4.443949332715635e-06,8.333971262520137e-09
xi0,100.0,8.257633186320632e-06,6.868110801138001e-09
xi0,110.0,1.485349345011462e-06,5.873711736516607e-09
xi0,120.0,2.0964251612077412e-06,6.132155575858422e-10
xi0,130.0,1.695350508872361e-06,2.6173175834620666e-09
xi0,140.0,1.7759419704930824e-06,6.431391224229604e-09
xi0,150.0,7.0679993988552564e-06,8.559491563506466e-09
xi0,160.0,4.811706910459201e-06,6.926726353094676e-09
xi0,170.0,2.7078438285334528e-06,9.038020958636398e-09
xi0,180.0,6.426950601911008e-09,1.887478443117463e-10
xi0,190.0,3.2600066580903076e-06,4.345290383714393e-09
xi0,200.0,3.0215837965868376e-06,2.5180234321225506e-09
xi0,210.0,9.41228605259694e-06,4.827010060376332e-09
xi0,220.0,7.845452358999639e-07,9.530471415409374e-09
xi0,230.0,7.088997935630846e-06,1.9438964841001005e-09
xi0,240.0,5.656174429254662e-06,6.291090032115758e-09
xi0,250.0,7.916299271842537e-06,6.0200015101431335e-09
xi0,260.0,4.816031078198621e-06,2.7888905282573786e-09
xi0,270.0,6.389542411142835e-06,3.949524194991473e-09
xi0,280.0,5.284377946278586e-06,9.306716840759066e-09
xi0,290.0,1.367419808600099e-06,9.193497098104485e-09
xi0,300.0,7.410750153818419e-06,8.364146120407477e-09
xi0,310.0,5.841101190798222e-06,6.496095873994552e-09
xi0,320.0,4.047574580826781e-06,6.324640935367064e-09
xi0,330.0,5.378660238918869e-06,2.7329696388169266e-09
xi0,340.0,9.228773157100048e-06,2.9315168477131116e-10
xi0,350.0,6.517530880365418e-06,3.3352783650087215e-09
xi0,360.0,1.2046698981919247e-06,6.582469677559523e-09
xi0,370.0,1.6102555345795557e-06,7.559679914576727e-09
xi0,380.0,4.635951686539228e-06,2.6760279843485414e-09
xi0,390.0,3.782794392385303e-07,7.76442534408789e-09
xi0,400.0,4.635501201356467e-06,6.726718297752209e-09
xi2,50.0,5.168988182110926e-06,2.2164475254591475e-09
xi2,60.0,9.670351296111721e-06,3.1301112098296557e-09
xi2,70.0,9.111059213824151e-06,4.785913775758629e-09
