term,s,c1,c2
xi0,50.0,4.776182574341326e-06,-2.8143488177007092e-09
xi0,60.0,4.187699496262613e-05,-1.4362058223026325e-08
xi0,70.0,7.03359943977331e-05,2.611933324041812e-08
xi0,80.0,4.644268752987917e-05,4.118731574240955e-09
xi0,90.0,2.531964302802453e-05,-1.494414455875515e-09
xi0,100.0,4.508486832552634e-05,9.255915067550593e-10
xi0,110.0,1.352965795672484e-05,-4.54055237248952e-10
xi0,120.0,7.780727032728847e-06,-1.4120000834877485e-08
xi0,130.0,7.162216371392149e-06,-2.7314816228573423e-09
xi0,140.0,8.957555931977825e-06,-3.1196206127483416e-09
xi0,150.0,1.545918719625572e-06,-6.420372937449224e-09
xi0,160.0,2.8192457021618693e-06,-7.316432391078306e-09
xi0,170.0,8.37855101633043e-06,2.092043367406843e-08
xi0,180.0,6.229407816941238e-06,-2.960744037212455e-09
xi0,190.0,8.066979610879684e-06,-1.6606836802296183e-08
xi0,200.0,2.9857107298070266e-06,4.347576008083176e-09
xi0,210.0,6.239538764474608e-06,-1.3026232275028858e-08
xi0,220.0,2.3720996072893575e-06,1.1390616279349169e-08
xi0,230.0,5.732033284758254e-06,1.060083696689964e-08
xi0,240.0,6.582384196489875e-06,4.911731986863772e-08
xi0,250.0,4.461869365179816e-07,3.247872686443695e-08
xi0,260.0,9.816365103013371e-06,9.117667242358995e-08
xi0,270.0,5.345711983439016e-06,2.1027594490050615e-08
xi0,280.0,5.319316247114209e-06,1.5296898286867787e-08
xi0,290.0,1.5116853428872402e-06,2.2793634383163183e-08
xi0,300.0,8.213233598770593e-07,7.822622383712112e-08
xi0,310.0,3.6286062331444156e-08,5.049392637448246e-08
xi0,320.0,2.214617428975697e-07,3.803477016267007e-08
xi0,330.0,9.450441344090543e-07,4.8838491448846006e-08
xi0,340.0,1.392636208174982e-07,9.003739139619892e-08
xi0,350.0,7.207372253424796e-07,2.4146619722551565e-08
xi0,360.0,8.371030020899604e-07,5.106503476343055e-08
xi0,370.0,3.2077337689726766e-07,8.050228814042618e-08
xi0,380.0,7.157012469078538e-07,4.754198170522189e-08
xi0,390.0,2.336371809059724e-07,5.379080857463002e-08
xi0,400.0,3.7741819780225013e-07,2.910496511406759e-08
xi2,50.0,-5.326489913402426e-07,0.0
xi2,60.0,2.4864797123128647e-06,0.0
xi2,70.0,-8.17181181011593e-07,0.0
xi2,80.0,-3.501292832327786e-07,0.0
xi2,90.0,-2.6446462962194303e-07,0.0
xi2,100.0,9.114002111133342e-07,0.0
xi2,110.0,3.566296388161852e-07,0.0
xi2,120.0,6.171344769336447e-07,0.0
xi2,130.0,3.619022983079849e-07,0.0
xi2,140.0,-1.8416152800959811e-06,0.0
xi2,150.0,1.3441912746927125e-06,0.0
xi2,160.0,5.355871442135717e-07,0.0
xi2,170.0,1.0554314489695914e-06,0.0
xi2,180.0,4.2934613415296147e-07,0.0
xi2,190.0,-2.0299247577629333e-07,0.0
xi2,200.0,1.2296026821657704e-07,0.0
xi2,210.0,1.8383552694077203e-06,0.0
xi2,220.0,7.098351471963051e-07,0.0
xi2,230.0,-1.042560750234025e-07,0.0
xi2,240.0,-1.991921474631456e-06,0.0
xi2,250.0,-6.784036989424618e-07,0.0
xi2,260.0,-2.3426043552505198e-06,0.0
xi2,270.0,-8.877460111093012e-07,0.0
xi2,280.0,8.16588857108665e-07,0.0
xi2,290.0,8.601783050962705e-07,0.0
xi2,300.0,-8.3536185597666e-07,0.0
xi2,310.0,-1.5451138112706224e-06,0.0
xi2,320.0,2.4623408774868674e-06,0.0
xi2,330.0,-2.5502087054541923e-07,0.0
xi2,340.0,1.3672535327963755e-06,0.0
xi2,350.0,1.357071346670233e-08,0.0
xi2,360.0,5.272619809676613e-07,0.0
xi2,370.0,6.506858075245181e-07,0.0
xi2,380.0,1.4002809626933108e-06,0.0
xi2,390.0,-1.225845039563147e-06,0.0
xi2,400.0,-9.030828864709368e-07,0.0
xi4,50.0,0.0,0.0
xi4,60.0,0.0,0.0
xi4,70.0,0.0,0.0
xi4,80.0,0.0,0.0
xi4,90.0,0.0,0.0
xi4,100.0,0.0,0.0
xi4,110.0,0.0,0.0
xi4,120.0,0.0,0.0
xi4,130.0,0.0,0.0
xi4,140.0,0.0,0.0
xi4,150.0,0.0,0.0
xi4,160.0,0.0,0.0
xi4,170.0,0.0,0.0
xi4,180.0,0.0,0.0
xi4,190.0,0.0,0.0
xi4,200.0,0.0,0.0
xi4,210.0,0.0,0.0
xi4,220.0,0.0,0.0
xi4,230.0,0.0,0.0
xi4,240.0,0.0,0.0
xi4,250.0,0.0,0.0
xi4,260.0,0.0,0.0
xi4,270.0,0.0,0.0
xi4,280.0,0.0,0.0
xi4,290.0,0.0,0.0
xi4,300.0,0.0,0.0
xi4,310.0,0.0,0.0
xi4,320.0,0.0,0.0
xi4,330.0,0.0,0.0
xi4,340.0,0.0,0.0
xi4,350.0,0.0,0.0
xi4,360.0,0.0,0.0
xi4,370.0,0.0,0.0
xi4,380.0,0.0,0.0
xi4,390.0,0.0,0.0
xi4,400.0,0.0,0.0
